Algorithm,Dataset,Run,N_Features_Total,Best_Fitness,Found_Global_Opt_Fitness,Best_Bitstring,Pareto_Front_Size,Min_Error_on_Front,Min_Feats_on_Front,Execution_Time
GA,Seeds,2,7,0.0517460317460317,True,0100001,,,,0.048853158950805664
GA,Seeds,3,7,0.0517460317460317,True,0100001,,,,0.04941582679748535
GA,Seeds,4,7,0.0517460317460317,True,0100001,,,,0.048538923263549805
GA,Seeds,5,7,0.0517460317460317,True,0100001,,,,0.04920792579650879
GA,Seeds,6,7,0.0517460317460317,True,0100001,,,,0.0479586124420166
GA,Seeds,7,7,0.0517460317460317,True,0100001,,,,0.04805707931518555
GA,Seeds,8,7,0.0517460317460317,True,0100001,,,,0.048204660415649414
GA,Seeds,9,7,0.0517460317460317,True,0100001,,,,0.04845690727233887
GA,Seeds,10,7,0.0517460317460317,True,0100001,,,,0.04768109321594238
BPSO,Seeds,1,7,0.0517460317460317,True,0100001,,,,0.04373812675476074
BPSO,Seeds,2,7,0.0517460317460317,True,0100001,,,,0.04352712631225586
BPSO,Seeds,3,7,0.0517460317460317,True,0100001,,,,0.04317903518676758
BPSO,Seeds,4,7,0.0517460317460317,True,0100001,,,,0.043393850326538086
BPSO,Seeds,5,7,0.0517460317460317,True,0100001,,,,0.04435920715332031
BPSO,Seeds,6,7,0.0517460317460317,True,0100001,,,,0.04391002655029297
BPSO,Seeds,7,7,0.0517460317460317,True,0100001,,,,0.043272972106933594
BPSO,Seeds,8,7,0.0517460317460317,True,0100001,,,,0.043393850326538086
BPSO,Seeds,9,7,0.0517460317460317,True,0100001,,,,0.043382883071899414
BPSO,Seeds,10,7,0.0517460317460317,True,0100001,,,,0.043097734451293945
NSGA-II,Seeds,1,7,,False,,100.0,0.0317460317460317,1.0,17.06802010536194
NSGA-II,Seeds,2,7,,False,,100.0,0.0317460317460317,1.0,17.054369926452637
NSGA-II,Seeds,3,7,,False,,100.0,0.0317460317460317,1.0,17.053997039794922
NSGA-II,Seeds,4,7,,False,,100.0,0.0317460317460317,1.0,16.993195056915283
NSGA-II,Seeds,5,7,,False,,100.0,0.0317460317460317,1.0,17.0698459148407
NSGA-II,Seeds,6,7,,False,,100.0,0.0317460317460317,1.0,17.040803909301758
NSGA-II,Seeds,7,7,,False,,100.0,0.0317460317460317,1.0,17.047217845916748
NSGA-II,Seeds,8,7,,False,,100.0,0.0317460317460317,1.0,17.01837921142578
NSGA-II,Seeds,9,7,,False,,100.0,0.0317460317460317,1.0,17.05110788345337
NSGA-II,Seeds,10,7,,False,,100.0,0.0317460317460317,1.0,17.03083610534668
