subset_indices,subset_bitmask,num_features,accuracy,error_hE,penalty_hP,fitness_h
"(1, 2, 3, 5, 6, 7, 8, 10)",0111011110100,8,0.7901234567901234,0.2098765432098766,0.08,0.2898765432098766
"(1, 2, 3, 5, 6, 7, 8, 10, 12)",0111011110101,9,0.7901234567901234,0.2098765432098766,0.09,0.29987654320987656
"(1, 2, 3, 5, 6, 7, 8, 10, 11)",0111011110110,9,0.8024691358024691,0.19753086419753085,0.09,0.2875308641975308
"(1, 2, 3, 5, 6, 7, 8, 10, 11, 12)",0111011110111,10,0.8148148148148148,0.18518518518518523,0.1,0.2851851851851852
"(1, 2, 3, 5, 6, 7, 8, 9)",0111011111000,8,0.8271604938271605,0.1728395061728395,0.08,0.2528395061728395
"(1, 2, 3, 5, 6, 7, 8, 9, 12)",0111011111001,9,0.8518518518518519,0.14814814814814814,0.09,0.23814814814814814
"(1, 2, 3, 5, 6, 7, 8, 9, 11)",0111011111010,9,0.8765432098765432,0.12345679012345678,0.09,0.21345679012345678
"(1, 2, 3, 5, 6, 7, 8, 9, 11, 12)",0111011111011,10,0.9012345679012346,0.09876543209876543,0.1,0.19876543209876543
"(1, 2, 3, 5, 6, 7, 8, 9, 10)",0111011111100,9,0.7901234567901234,0.2098765432098766,0.09,0.29987654320987656
"(1, 2, 3, 5, 6, 7, 8, 9, 10, 12)",0111011111101,10,0.8024691358024691,0.19753086419753085,0.1,0.29753086419753083
"(1, 2, 3, 5, 6, 7, 8, 9, 10, 11)",0111011111110,10,0.8271604938271605,0.1728395061728395,0.1,0.2728395061728395
"(1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12)",0111011111111,11,0.8641975308641975,0.13580246913580252,0.11,0.2458024691358025
"(1, 2, 3, 4)",0111100000000,4,0.7037037037037037,0.2962962962962963,0.04,0.33629629629629626
"(1, 2, 3, 4, 12)",0111100000001,5,0.7901234567901234,0.2098765432098766,0.05,0.2598765432098766
"(1, 2, 3, 4, 11)",0111100000010,5,0.691358024691358,0.308641975308642,0.05,0.358641975308642
"(1, 2, 3, 4, 11, 12)",0111100000011,6,0.8024691358024691,0.19753086419753085,0.06,0.25753086419753085
"(1, 2, 3, 4, 10)",0111100000100,5,0.8024691358024691,0.19753086419753085,0.05,0.24753086419753084
"(1, 2, 3, 4, 10, 12)",0111100000101,6,0.7654320987654321,0.23456790123456794,0.06,0.29456790123456794
"(1, 2, 3, 4, 10, 11)",0111100000110,6,0.7407407407407407,0.2592592592592593,0.06,0.3192592592592593
"(1, 2, 3, 4, 10, 11, 12)",0111100000111,7,0.8148148148148148,0.18518518518518523,0.07,0.25518518518518524
"(1, 2, 3, 4, 9)",0111100001000,5,0.8024691358024691,0.19753086419753085,0.05,0.24753086419753084
"(1, 2, 3, 4, 9, 12)",0111100001001,6,0.8024691358024691,0.19753086419753085,0.06,0.25753086419753085
"(1, 2, 3, 4, 9, 11)",0111100001010,6,0.8148148148148148,0.18518518518518523,0.06,0.24518518518518523
"(1, 2, 3, 4, 9, 11, 12)",0111100001011,7,0.8641975308641975,0.13580246913580252,0.07,0.20580246913580252
"(1, 2, 3, 4, 9, 10)",0111100001100,6,0.7530864197530864,0.24691358024691357,0.06,0.30691358024691356
"(1, 2, 3, 4, 9, 10, 12)",0111100001101,7,0.8024691358024691,0.19753086419753085,0.07,0.26753086419753086
"(1, 2, 3, 4, 9, 10, 11)",0111100001110,7,0.7901234567901234,0.2098765432098766,0.07,0.2798765432098766
"(1, 2, 3, 4, 9, 10, 11, 12)",0111100001111,8,0.8641975308641975,0.13580246913580252,0.08,0.21580246913580253
"(1, 2, 3, 4, 8)",0111100010000,5,0.7160493827160493,0.28395061728395066,0.05,0.33395061728395065
"(1, 2, 3, 4, 8, 12)",0111100010001,6,0.7654320987654321,0.23456790123456794,0.06,0.29456790123456794
"(1, 2, 3, 4, 8, 11)",0111100010010,6,0.7160493827160493,0.28395061728395066,0.06,0.34395061728395065
"(1, 2, 3, 4, 8, 11, 12)",0111100010011,7,0.7901234567901234,0.2098765432098766,0.07,0.2798765432098766
"(1, 2, 3, 4, 8, 10)",0111100010100,6,0.8024691358024691,0.19753086419753085,0.06,0.25753086419753085
"(1, 2, 3, 4, 8, 10, 12)",0111100010101,7,0.7654320987654321,0.23456790123456794,0.07,0.30456790123456795
"(1, 2, 3, 4, 8, 10, 11)",0111100010110,7,0.8395061728395061,0.16049382716049387,0.07,0.23049382716049388
"(1, 2, 3, 4, 8, 10, 11, 12)",0111100010111,8,0.8395061728395061,0.16049382716049387,0.08,0.2404938271604939
"(1, 2, 3, 4, 8, 9)",0111100011000,6,0.8148148148148148,0.18518518518518523,0.06,0.24518518518518523
"(1, 2, 3, 4, 8, 9, 12)",0111100011001,7,0.8024691358024691,0.19753086419753085,0.07,0.26753086419753086
"(1, 2, 3, 4, 8, 9, 11)",0111100011010,7,0.8024691358024691,0.19753086419753085,0.07,0.26753086419753086
"(1, 2, 3, 4, 8, 9, 11, 12)",0111100011011,8,0.8518518518518519,0.14814814814814814,0.08,0.22814814814814816
"(1, 2, 3, 4, 8, 9, 10)",0111100011100,7,0.7654320987654321,0.23456790123456794,0.07,0.30456790123456795
"(1, 2, 3, 4, 8, 9, 10, 12)",0111100011101,8,0.8271604938271605,0.1728395061728395,0.08,0.2528395061728395
"(1, 2, 3, 4, 8, 9, 10, 11)",0111100011110,8,0.8518518518518519,0.14814814814814814,0.08,0.22814814814814816
"(1, 2, 3, 4, 8, 9, 10, 11, 12)",0111100011111,9,0.8518518518518519,0.14814814814814814,0.09,0.23814814814814814
"(1, 2, 3, 4, 7)",0111100100000,5,0.7283950617283951,0.2716049382716049,0.05,0.3216049382716049
"(1, 2, 3, 4, 7, 12)",0111100100001,6,0.8024691358024691,0.19753086419753085,0.06,0.25753086419753085
"(1, 2, 3, 4, 7, 11)",0111100100010,6,0.8024691358024691,0.19753086419753085,0.06,0.25753086419753085
"(1, 2, 3, 4, 7, 11, 12)",0111100100011,7,0.8148148148148148,0.18518518518518523,0.07,0.25518518518518524
"(1, 2, 3, 4, 7, 10)",0111100100100,6,0.7407407407407407,0.2592592592592593,0.06,0.3192592592592593
"(1, 2, 3, 4, 7, 10, 12)",0111100100101,7,0.7901234567901234,0.2098765432098766,0.07,0.2798765432098766
"(1, 2, 3, 4, 7, 10, 11)",0111100100110,7,0.7777777777777778,0.2222222222222222,0.07,0.2922222222222222
"(1, 2, 3, 4, 7, 10, 11, 12)",0111100100111,8,0.8271604938271605,0.1728395061728395,0.08,0.2528395061728395
"(1, 2, 3, 4, 7, 9)",0111100101000,6,0.8024691358024691,0.19753086419753085,0.06,0.25753086419753085
"(1, 2, 3, 4, 7, 9, 12)",0111100101001,7,0.8518518518518519,0.14814814814814814,0.07,0.21814814814814815
"(1, 2, 3, 4, 7, 9, 11)",0111100101010,7,0.7901234567901234,0.2098765432098766,0.07,0.2798765432098766
"(1, 2, 3, 4, 7, 9, 11, 12)",0111100101011,8,0.9012345679012346,0.09876543209876543,0.08,0.17876543209876544
"(1, 2, 3, 4, 7, 9, 10)",0111100101100,7,0.7654320987654321,0.23456790123456794,0.07,0.30456790123456795
"(1, 2, 3, 4, 7, 9, 10, 12)",0111100101101,8,0.8024691358024691,0.19753086419753085,0.08,0.27753086419753087
