subset_indices,subset_bitmask,num_features,accuracy,error_hE,penalty_hP,fitness_h
"(0, 1, 3, 5)",1101010,4,0.8571428571428571,0.1428571428571429,0.04,0.1828571428571429
"(0, 1, 3, 5, 6)",1101011,5,0.9682539682539683,0.031746031746031744,0.05,0.08174603174603175
"(0, 1, 3, 4)",1101100,4,0.8253968253968254,0.17460317460317465,0.04,0.21460317460317466
"(0, 1, 3, 4, 6)",1101101,5,0.9047619047619048,0.09523809523809523,0.05,0.14523809523809522
"(0, 1, 3, 4, 5)",1101110,5,0.8571428571428571,0.1428571428571429,0.05,0.1928571428571429
"(0, 1, 3, 4, 5, 6)",1101111,6,0.9047619047619048,0.09523809523809523,0.06,0.15523809523809523
"(0, 1, 2)",1110000,3,0.8253968253968254,0.17460317460317465,0.03,0.20460317460317465
"(0, 1, 2, 6)",1110001,4,0.9206349206349206,0.07936507936507942,0.04,0.11936507936507942
"(0, 1, 2, 5)",1110010,4,0.8412698412698413,0.15873015873015872,0.04,0.19873015873015873
"(0, 1, 2, 5, 6)",1110011,5,0.9206349206349206,0.07936507936507942,0.05,0.1293650793650794
"(0, 1, 2, 4)",1110100,4,0.8253968253968254,0.17460317460317465,0.04,0.21460317460317466
"(0, 1, 2, 4, 6)",1110101,5,0.8253968253968254,0.17460317460317465,0.05,0.22460317460317464
"(0, 1, 2, 4, 5)",1110110,5,0.8412698412698413,0.15873015873015872,0.05,0.2087301587301587
"(0, 1, 2, 4, 5, 6)",1110111,6,0.8888888888888888,0.11111111111111116,0.06,0.17111111111111116
"(0, 1, 2, 3)",1111000,4,0.8095238095238095,0.19047619047619047,0.04,0.23047619047619047
"(0, 1, 2, 3, 6)",1111001,5,0.8888888888888888,0.11111111111111116,0.05,0.16111111111111115
"(0, 1, 2, 3, 5)",1111010,5,0.8412698412698413,0.15873015873015872,0.05,0.2087301587301587
"(0, 1, 2, 3, 5, 6)",1111011,6,0.9206349206349206,0.07936507936507942,0.06,0.13936507936507941
"(0, 1, 2, 3, 4)",1111100,5,0.8095238095238095,0.19047619047619047,0.05,0.24047619047619045
"(0, 1, 2, 3, 4, 6)",1111101,6,0.8571428571428571,0.1428571428571429,0.06,0.2028571428571429
"(0, 1, 2, 3, 4, 5)",1111110,6,0.8412698412698413,0.15873015873015872,0.06,0.21873015873015872
"(0, 1, 2, 3, 4, 5, 6)",1111111,7,0.9206349206349206,0.07936507936507942,0.07,0.14936507936507942
